id,node,batchsize,delay,tx,send,round
15,16,1000,12.534882307052612,16000,4190,2
15,16,1000,14.376482486724854,16000,4100,3
15,16,1000,15.610561609268188,16000,4540,4
15,16,1000,14.792402029037476,16000,4410,5
15,16,1000,23.846795797348022,16000,6910,6
11,16,1000,19.373626232147217,16000,5590,0
11,16,1000,15.732129335403442,16000,4580,1
11,16,1000,12.521698474884033,16000,4190,2
11,16,1000,14.392009735107422,16000,4100,3
11,16,1000,15.614819526672363,16000,4540,4
11,16,1000,14.721646308898926,16000,4410,5
11,16,1000,24.018585681915283,16000,6910,6
10,16,1000,19.714114904403687,16000,5590,0
10,16,1000,15.748703002929688,16000,4580,1
10,16,1000,12.555881023406982,16000,4170,2
10,16,1000,14.228305101394653,16000,4120,3
10,16,1000,15.756112337112427,16000,4530,4
10,16,1000,14.776500225067139,16000,4450,5
10,16,1000,23.887598514556885,16000,6880,6
2,16,1000,19.17913556098938,16000,5600,0
2,16,1000,15.817830324172974,16000,4576,1
2,16,1000,12.571974754333496,16000,4128,2
2,16,1000,14.194303274154663,16000,4192,3
2,16,1000,15.719594717025757,16000,4512,4
2,16,1000,14.798425436019897,16000,4448,5
2,16,1000,23.91426992416382,16000,6880,6
13,16,1000,19.79229426383972,16000,5600,0
13,16,1000,15.72731637954712,16000,4576,1
13,16,1000,12.530743837356567,16000,4128,2
13,16,1000,14.269633054733276,16000,4192,3
13,16,1000,15.761805295944214,16000,4512,4
13,16,1000,14.741052150726318,16000,4448,5
13,16,1000,23.85524010658264,16000,6880,6
14,16,1000,19.46081519126892,16000,5590,0
14,16,1000,15.773055791854858,16000,4580,1
14,16,1000,12.567225217819214,16000,4170,2
14,16,1000,14.328882217407227,16000,4120,3
14,16,1000,15.676799774169922,16000,4540,4
14,16,1000,14.758997678756714,16000,4440,5
14,16,1000,23.79602360725403,16000,6870,6
9,16,1000,19.169928789138794,16000,5600,0
9,16,1000,15.755642175674438,16000,4576,1
9,16,1000,12.775022983551025,16000,4128,2
9,16,1000,14.138927698135376,16000,4192,3
9,16,1000,15.598321914672852,16000,4512,4
9,16,1000,14.809121131896973,16000,4448,5
9,16,1000,23.836563110351562,16000,6880,6
8,16,1000,19.413204431533813,16000,5590,0
8,16,1000,15.748627185821533,16000,4580,1
8,16,1000,12.562240839004517,16000,4190,2
8,16,1000,14.232285976409912,16000,4110,3
8,16,1000,15.94948410987854,16000,4530,4
8,16,1000,14.719067573547363,16000,4420,5
8,16,1000,23.888447284698486,16000,6890,6
4,16,1000,19.797919988632202,16000,5590,0
4,16,1000,15.762468814849854,16000,4580,1
4,16,1000,12.56624150276184,16000,4160,2
4,16,1000,14.279417037963867,16000,4130,3
