id,node,batchsize,delay,tx,send,round
11,16,2000,1.188629388809204,8000,290,0
11,16,2000,2.173548936843872,16000,260,1
11,16,2000,1.591855764389038,24000,260,2
11,16,2000,2.093292474746704,32000,240,3
11,16,2000,1.305269479751587,40000,250,4
11,16,2000,1.6467053890228271,48000,270,5
11,16,2000,1.8657984733581543,56000,260,6
10,16,2000,1.1902189254760742,8000,270,0
10,16,2000,2.0835461616516113,16000,280,1
10,16,2000,1.5431735515594482,24000,260,2
10,16,2000,2.032421112060547,32000,310,3
10,16,2000,1.3549721240997314,40000,210,4
10,16,2000,1.6445574760437012,48000,290,5
10,16,2000,1.9648332595825195,56000,330,6
2,16,2000,1.6775319576263428,6000,304,0
2,16,2000,1.5417892932891846,14000,316,1
2,16,2000,1.8164293766021729,22000,220,2
2,16,2000,1.4020068645477295,30000,268,3
2,16,2000,1.3036954402923584,38000,208,4
2,16,2000,2.549689531326294,46000,328,5
2,16,2000,2.754607677459717,54000,292,6
13,16,2000,1.4464643001556396,8000,244,0
13,16,2000,2.046590566635132,16000,292,1
13,16,2000,1.4613842964172363,24000,232,2
13,16,2000,1.5523138046264648,32000,268,3
13,16,2000,1.9414081573486328,40000,316,4
13,16,2000,2.5190320014953613,48000,256,5
13,16,2000,2.402684211730957,56000,316,6
14,16,2000,1.1500763893127441,8000,260,0
14,16,2000,2.0174009799957275,16000,290,1
14,16,2000,1.4713490009307861,24000,260,2
14,16,2000,1.5378773212432861,32000,310,3
14,16,2000,1.9203145503997803,40000,210,4
14,16,2000,2.3082058429718018,48000,290,5
14,16,2000,2.179979085922241,56000,330,6
9,16,2000,1.4978365898132324,8000,256,0
9,16,2000,2.082019567489624,16000,304,1
9,16,2000,1.5530550479888916,24000,268,2
9,16,2000,2.11869740486145,32000,304,3
9,16,2000,1.4183297157287598,40000,244,4
9,16,2000,1.7775263786315918,48000,232,5
9,16,2000,1.8823449611663818,56000,340,6
8,16,2000,1.560009479522705,8000,290,0
8,16,2000,2.087460994720459,16000,330,1
8,16,2000,1.6195039749145508,24000,210,2
8,16,2000,2.3055245876312256,32000,240,3
8,16,2000,1.6259424686431885,40000,260,4
8,16,2000,1.9768586158752441,48000,300,5
8,16,2000,2.4126830101013184,56000,290,6
4,16,2000,1.4625654220581055,8000,220,0
4,16,2000,1.902827262878418,16000,320,1
4,16,2000,1.4015898704528809,24000,240,2
4,16,2000,1.3887693881988525,32000,250,3
4,16,2000,2.0624022483825684,40000,330,4
4,16,2000,1.2322909832000732,48000,250,5
4,16,2000,2.147447347640991,56000,310,6
5,16,2000,1.405710220336914,8000,230,0
5,16,2000,1.90647292137146,16000,310,1
5,16,2000,1.3208136558532715,24000,240,2
5,16,2000,1.3187150955200195,32000,250,3
5,16,2000,2.15893292427063,40000,330,4
5,16,2000,1.421445608139038,48000,250,5
5,16,2000,2.4706320762634277,56000,310,6
7,16,3000,1.4390177726745605,12000,240,0
7,16,3000,2.0300955772399902,24000,330,1
7,16,3000,1.490269422531128,33000,210,2
7,16,3000,1.8749628067016602,42000,250,3
7,16,3000,2.5301427841186523,51000,210,4
7,16,3000,1.4756176471710205,60000,350,5
7,16,3000,2.0850768089294434,69000,320,6
12,16,3000,1.183403491973877,12000,240,0
12,16,3000,2.13565993309021,24000,330,1
12,16,3000,1.5485172271728516,36000,200,2
12,16,3000,1.3948032855987549,48000,260,3
12,16,3000,2.046405076980591,60000,210,4
12,16,3000,2.366533041000366,72000,350,5
12,16,3000,2.2192182540893555,84000,320,6
6,16,3000,1.7085142135620117,12000,230,0
6,16,3000,2.022245168685913,24000,320,1
6,16,3000,1.5581142902374268,33000,240,2
6,16,3000,1.9066839218139648,42000,260,3
6,16,3000,2.5135953426361084,51000,300,4
6,16,3000,1.2785272598266602,60000,260,5
6,16,3000,2.0813868045806885,69000,310,6
1,16,3000,1.706038236618042,12000,292,0
1,16,3000,1.7852919101715088,24000,268,1
1,16,3000,1.718770980834961,36000,232,2
1,16,3000,1.7551391124725342,48000,304,3
1,16,3000,1.7488815784454346,60000,328,4
1,16,3000,2.3214852809906006,72000,220,5
1,16,3000,1.7946598529815674,84000,268,6
0,16,3000,1.4198122024536133,12000,260,0
0,16,3000,1.682448387145996,24000,290,1
0,16,3000,1.6322295665740967,36000,280,2
0,16,3000,1.8316681385040283,48000,290,3
0,16,3000,1.4197559356689453,60000,230,4
0,16,3000,2.3779945373535156,72000,240,5
0,16,3000,1.9798190593719482,84000,350,6
3,16,3000,1.8939473628997803,12000,280,0
3,16,3000,1.8697736263275146,24000,270,1
3,16,3000,1.6023683547973633,36000,230,2
3,16,3000,1.7235934734344482,48000,320,3
3,16,3000,1.384138584136963,60000,320,4
3,16,3000,2.3300957679748535,72000,220,5
3,16,3000,1.979485273361206,84000,280,6
15,16,3000,1.1462500095367432,12000,280,0
15,16,3000,2.095261573791504,24000,270,1
15,16,3000,1.7722651958465576,36000,230,2
15,16,3000,1.9389560222625732,48000,330,3
15,16,3000,2.4929137229919434,60000,310,4
15,16,3000,2.992851972579956,72000,220,5
15,16,3000,2.5473079681396484,84000,270,6
11,16,3000,1.3336975574493408,12000,270,0
11,16,3000,2.198234796524048,24000,280,1
11,16,3000,1.5661437511444092,36000,230,2
11,16,3000,2.176017999649048,48000,320,3
11,16,3000,1.3491389751434326,60000,320,4
11,16,3000,1.8193151950836182,72000,220,5
11,16,3000,2.3343100547790527,84000,280,6
10,16,3000,1.7134346961975098,12000,260,0
10,16,3000,2.2673897743225098,24000,290,1
10,16,3000,1.5379345417022705,36000,280,2
10,16,3000,2.1548736095428467,48000,290,3
10,16,3000,1.3222112655639648,60000,230,4
10,16,3000,1.7814826965332031,72000,240,5
10,16,3000,2.1853322982788086,84000,340,6
2,16,3000,1.4120042324066162,12000,244,0
2,16,3000,1.88671875,24000,316,1
2,16,3000,1.6077203750610352,36000,220,2
2,16,3000,1.7522661685943604,48000,268,3
2,16,3000,1.4420866966247559,60000,208,4
2,16,3000,2.3528528213500977,72000,328,5
2,16,3000,1.7832636833190918,84000,292,6
13,16,3000,1.835728406906128,12000,244,0
13,16,3000,2.0739920139312744,24000,292,1
13,16,3000,1.7334840297698975,36000,232,2
13,16,3000,1.814255714416504,48000,268,3
13,16,3000,2.3813459873199463,60000,316,4
13,16,3000,2.5568838119506836,72000,256,5
13,16,3000,2.4123480319976807,84000,316,6
14,16,3000,1.4649755954742432,12000,270,0
14,16,3000,2.106049060821533,24000,280,1
14,16,3000,1.5232157707214355,36000,280,2
14,16,3000,1.392915964126587,48000,290,3
14,16,3000,2.061445474624634,60000,240,4
14,16,3000,2.354109048843384,72000,230,5
14,16,3000,2.2806875705718994,84000,340,6
9,16,3000,1.5221478939056396,12000,256,0
9,16,3000,2.194296360015869,24000,304,1
9,16,3000,1.722259759902954,36000,268,2
9,16,3000,2.6843948364257812,48000,304,3
9,16,3000,2.0382306575775146,60000,244,4
9,16,3000,2.234631061553955,72000,232,5
9,16,3000,2.7331490516662598,84000,340,6
8,16,3000,1.3479564189910889,12000,240,0
8,16,3000,2.247126817703247,24000,330,1
8,16,3000,1.8614177703857422,36000,200,2
8,16,3000,2.7388603687286377,48000,260,3
8,16,3000,2.2701303958892822,60000,220,4
8,16,3000,2.3742403984069824,72000,340,5
