id,shard_id,node,shard,batchsize,delay,tx,tps,total_tx,total_tps,send,round
0,0,16,4,2000,1.259559154510498,8000,6351.4285703469295,32000,25405.714281387718,210,4
0,0,16,4,2000,2.1735363006591797,8000,3680.637860786497,32000,14722.551443145989,280,5
0,0,16,4,2000,1.9817144870758057,8000,4036.9084710102234,32000,16147.633884040893,360,6
3,0,16,4,2000,1.9851515293121338,6000,3022.4393006810083,24000,12089.757202724033,300,0
3,0,16,4,2000,1.6243138313293457,8000,4925.156608100027,32000,19700.62643240011,250,1
3,0,16,4,2000,1.9219863414764404,8000,4162.3604847548095,32000,16649.441939019238,260,2
3,0,16,4,2000,1.5765941143035889,8000,5074.22926891602,32000,20296.91707566408,230,3
3,0,16,4,2000,1.2577266693115234,8000,6360.682487856588,32000,25442.72995142635,260,4
3,0,16,4,2000,2.214325189590454,8000,3612.838817716572,32000,14451.355270866288,270,5
3,0,16,4,2000,2.159041404724121,8000,3705.348115369852,32000,14821.392461479409,260,6
15,3,16,4,2000,1.1754961013793945,8000,6805.6372034006245,32000,27222.548813602498,290,0
15,3,16,4,2000,2.009485960006714,8000,3981.117638648877,32000,15924.470554595508,260,1
15,3,16,4,2000,1.3634002208709717,8000,5867.682781281504,32000,23470.731125126014,260,2
15,3,16,4,2000,1.3900816440582275,8000,5755.057650171299,32000,23020.230600685198,240,3
15,3,16,4,2000,1.9784636497497559,8000,4043.541563683453,32000,16174.166254733813,250,4
15,3,16,4,2000,2.5979089736938477,8000,3079.3996560338164,32000,12317.598624135266,270,5
15,3,16,4,2000,2.4813146591186523,8000,3224.0973431566113,32000,12896.389372626445,260,6
11,2,16,4,2000,1.188629388809204,8000,6730.441023349239,32000,26921.764093396956,290,0
11,2,16,4,2000,2.173548936843872,8000,3680.6164629614905,32000,14722.465851845962,260,1
11,2,16,4,2000,1.591855764389038,8000,5025.580947071821,32000,20102.323788287285,260,2
11,2,16,4,2000,2.093292474746704,8000,3821.7306451493496,32000,15286.922580597398,240,3
11,2,16,4,2000,1.305269479751587,8000,6129.002573110439,32000,24516.010292441755,250,4
11,2,16,4,2000,1.6467053890228271,8000,4858.1853519938295,32000,19432.741407975318,270,5
11,2,16,4,2000,1.8657984733581543,8000,4287.708514200472,32000,17150.834056801887,260,6
10,2,16,4,2000,1.1902189254760742,8000,6721.452523366733,32000,26885.81009346693,270,0
10,2,16,4,2000,2.0835461616516113,8000,3839.607754914564,32000,15358.431019658256,280,1
10,2,16,4,2000,1.5431735515594482,8000,5184.122026920193,32000,20736.488107680772,260,2
10,2,16,4,2000,2.032421112060547,8000,3936.192136820155,32000,15744.76854728062,310,3
10,2,16,4,2000,1.3549721240997314,8000,5904.180505053082,32000,23616.722020212328,210,4
10,2,16,4,2000,1.6445574760437012,8000,4864.530499259617,32000,19458.121997038466,290,5
10,2,16,4,2000,1.9648332595825195,8000,4071.592315013952,32000,16286.369260055808,330,6
2,0,16,4,2000,1.6775319576263428,6000,3576.682979255918,24000,14306.731917023671,304,0
2,0,16,4,2000,1.5417892932891846,8000,5188.776465643471,32000,20755.105862573884,316,1
2,0,16,4,2000,1.8164293766021729,8000,4404.245000135851,32000,17616.980000543404,220,2
2,0,16,4,2000,1.4020068645477295,8000,5706.106155607664,32000,22824.424622430655,268,3
2,0,16,4,2000,1.3036954402923584,8000,6136.4025314117625,32000,24545.61012564705,208,4
2,0,16,4,2000,2.549689531326294,8000,3137.636916851822,32000,12550.547667407289,328,5
2,0,16,4,2000,2.754607677459717,8000,2904.2248249948802,32000,11616.899299979521,292,6
13,3,16,4,2000,1.4464643001556396,8000,5530.72758113643,32000,22122.91032454572,244,0
13,3,16,4,2000,2.046590566635132,8000,3908.9401321501587,32000,15635.760528600635,292,1
13,3,16,4,2000,1.4613842964172363,8000,5474.261643301482,32000,21897.046573205927,232,2
13,3,16,4,2000,1.5523138046264648,8000,5153.597150368092,32000,20614.38860147237,268,3
13,3,16,4,2000,1.9414081573486328,8000,4120.720297644954,32000,16482.881190579817,316,4
13,3,16,4,2000,2.5190320014953613,8000,3175.8230920651254,32000,12703.292368260501,256,5
13,3,16,4,2000,2.402684211730957,8000,3329.609426382583,32000,13318.437705530332,316,6
14,3,16,4,2000,1.1500763893127441,8000,6956.059679462329,32000,27824.238717849315,260,0
14,3,16,4,2000,2.0174009799957275,8000,3965.498222379639,32000,15861.992889518557,290,1
14,3,16,4,2000,1.4713490009307861,8000,5437.187230860348,32000,21748.74892344139,260,2
14,3,16,4,2000,1.5378773212432861,8000,5201.975404340092,32000,20807.901617360367,310,3
14,3,16,4,2000,1.9203145503997803,8000,4165.984160425448,32000,16663.93664170179,210,4
14,3,16,4,2000,2.3082058429718018,8000,3465.895394190687,32000,13863.581576762748,290,5
14,3,16,4,2000,2.179979085922241,8000,3669.7599769016115,32000,14679.039907606446,330,6
9,2,16,4,2000,1.4978365898132324,8000,5341.036568613625,32000,21364.1462744545,256,0
9,2,16,4,2000,2.082019567489624,8000,3842.4230612039473,32000,15369.69224481579,304,1
9,2,16,4,2000,1.5530550479888916,8000,5151.137437375124,32000,20604.549749500497,268,2
9,2,16,4,2000,2.11869740486145,8000,3775.904941235887,32000,15103.619764943547,304,3
9,2,16,4,2000,1.4183297157287598,8000,5640.43741824127,32000,22561.74967296508,244,4
9,2,16,4,2000,1.7775263786315918,8000,4500.636444089628,32000,18002.54577635851,232,5
9,2,16,4,2000,1.8823449611663818,8000,4250.0180174429115,32000,17000.072069771646,340,6
8,2,16,4,2000,1.560009479522705,8000,5128.173966255417,32000,20512.69586502167,290,0
8,2,16,4,2000,2.087460994720459,8000,3832.4069384929107,32000,15329.627753971643,330,1
8,2,16,4,2000,1.6195039749145508,8000,4939.784109157312,32000,19759.136436629247,210,2
8,2,16,4,2000,2.3055245876312256,8000,3469.926125671673,32000,13879.704502686693,240,3
8,2,16,4,2000,1.6259424686431885,8000,4920.223288512671,32000,19680.893154050686,260,4
8,2,16,4,2000,1.9768586158752441,8000,4046.8245608237594,32000,16187.298243295038,300,5
8,2,16,4,2000,2.4126830101013184,8000,3315.8106417237327,32000,13263.24256689493,290,6
4,1,16,4,2000,1.4625654220581055,8000,5469.840787526954,32000,21879.363150107816,220,0
4,1,16,4,2000,1.902827262878418,8000,4204.270222562584,32000,16817.080890250338,320,1
4,1,16,4,2000,1.4015898704528809,8000,5707.80380812473,32000,22831.21523249892,240,2
4,1,16,4,2000,1.3887693881988525,8000,5760.495635906478,32000,23041.982543625913,250,3
4,1,16,4,2000,2.0624022483825684,8000,3878.9717215804876,32000,15515.88688632195,330,4
4,1,16,4,2000,1.2322909832000732,8000,6491.973169539236,32000,25967.892678156943,250,5
4,1,16,4,2000,2.147447347640991,8000,3725.3532706113338,32000,14901.413082445335,310,6
5,1,16,4,2000,1.405710220336914,8000,5691.073369362426,32000,22764.293477449704,230,0
5,1,16,4,2000,1.90647292137146,8000,4196.230594371641,32000,16784.922377486564,310,1
5,1,16,4,2000,1.3208136558532715,8000,6056.872568319899,32000,24227.490273279596,240,2
5,1,16,4,2000,1.3187150955200195,8000,6066.511278423863,32000,24266.04511369545,250,3
