id,node,batchsize,delay,tx,tps,send,round
10,16,5000,5.241973,250000,47691.96636457303,60,0
10,16,5000,4.372272000000001,250000,57178.51039459575,60,1
2,16,5000,4.919297,250000,50820.26964421949,110,0
2,16,5000,4.372418,250000,57176.60113923235,61,1
13,16,5000,5.1051,250000,48970.63720593132,61,0
13,16,5000,4.373201999999999,250000,57166.350879744416,61,1
14,16,5000,4.703653,250000,53150.17923303441,60,0
14,16,5000,4.372029,250000,57181.688410575494,60,1
9,16,5000,4.482986,250000,55766.40212572602,61,0
9,16,5000,4.365689999999999,250000,57264.71645948294,61,1
8,16,5000,4.702801,250000,53159.80837802833,60,0
8,16,5000,4.372231,250000,57179.04657828005,60,1
4,16,5000,5.129378,250000,48738.85293694479,60,0
4,16,5000,4.372381,250000,57177.08497955691,60,1
5,16,5000,4.767332,250000,52440.23281785284,60,0
5,16,5000,4.374735000000001,250000,57146.318577010934,60,1
